created_at,text,retweet_count,favorite_count,user_screen_name,user_followers_count,user_verified
2021-03-22 23:16:07,Can we have an investigation on this @SukhpalKhaira #FarmersProtest https://t.co/qe5ttozzPE,0,0,LyllpuriaDeep1,905,False
2021-03-22 23:14:39,Captain Saab @capt_amarinder You need to investigate this. Police officers need to be punished. #FarmersProtest https://t.co/qe5ttozzPE,0,0,LyllpuriaDeep1,905,False
2021-03-22 23:14:12,"There is no compromise when it comes to injustice. You have to fight it.Stand with our farmers

 #FarmersProtest

 23:14:12",0,0,DigitalKisanBot,2330,False
2021-03-22 23:12:51,"Farmers in India are fighting for their livelihoods. 🙏✊🏼
#IStandWithFarmers
#FarmersProtest https://t.co/RT8djhdopQ",1,2,SHERNI__,142,False
2021-03-22 22:55:32,#23march with farmers #23March_किसानों_के_साथ #FarmersProtest #BoycottBJP_4Farmers,0,0,MajorSi29334159,8,False
2021-03-22 22:46:41,What about COVID-19? Anyone?? #FarmersProtest #FarmersCallBJPboycott #23March_किसानों_के_साथ #kisanEktaMorcha https://t.co/LveF3qntSk,0,1,DivdeepM,94,False
2021-03-22 22:41:15,"Guys follow kro Ranjit veere de account nu @RanjitS29405845 ....🙏❤
.
.
#ranjitsingh 
#FarmersProtest",0,1,Komlprit_24,522,False
2021-03-22 22:33:01,"#FarmersProtest = #HumanRights
#StandWithFarmers #23March_किसानों_के_साथ
No to RSS! https://t.co/zXPa6NtdrJ",1,1,rebelpacifist,259,False
2021-03-22 22:18:31,"#FarmersProtest #FarmersProtests #FarmersProstests 

We stand with Farmers....",0,0,Gautamc13,19,False
2021-03-22 22:14:12,"It's NOW or NEVER

📢Speak up against the Injustice and Oppression of FARMERS

#FarmersProtest

 22:14:12",1,0,DigitalKisanBot,2330,False
2021-03-22 22:13:00,"🚨 Everyone please read and share
#23March_किसानों_के_साथ
#FarmersProtest = #HumanRights
#StandWithFarmers https://t.co/lwx9rr6NRg",0,0,rebelpacifist,259,False
2021-03-22 22:10:16,"Are you kidding me @Facebook???
#23March_किसानों_के_साथ
#FarmersProtest = #HumanRights
#StandWithFarmers https://t.co/lwx9rr6NRg",0,0,rebelpacifist,259,False
2021-03-22 22:08:26,"Salute to great Martyrs and Farmers.
Jai Kisan
#FarmersProtest 
#23March_किसानों_के_साथ https://t.co/y7dgLlX1kD",0,1,Singhfarmer1313,119,False
2021-03-22 22:04:00,"#23March_किसानों_के_साथ #FarmersProtest 

Well said 👏👏👏 https://t.co/sN0IX89drw",0,2,Fakeer16771146,237,False
2021-03-22 22:03:23,"#23March_किसानों_के_साथ #FarmersProtest 

👏👏👏👏They are all Fake https://t.co/pvt5eICcvm",0,1,Fakeer16771146,237,False
2021-03-22 22:02:12,"#23March_किसानों_के_साथ #FarmersProtest 

Honour our Martyrs https://t.co/jn7KI7JdB9",0,0,Fakeer16771146,237,False
2021-03-22 21:59:06,"#23March_किसानों_के_साथ #FarmersProtest   

His legacy continues https://t.co/rWs6KSe6Le",1,1,Fakeer16771146,237,False
2021-03-22 21:58:01,"#23March_किसानों_के_साथ #FarmersProtest 

Save agriculture support farmer protest https://t.co/QyjXLVReRj",0,0,Fakeer16771146,237,False
2021-03-22 21:57:04,"#23March_किसानों_के_साथ #FarmersProtest 

Respect Farmer Support Farmersprotest https://t.co/jBax9wDbS5",0,0,Fakeer16771146,237,False
2021-03-22 21:56:10,"#23March_किसानों_के_साथ #FarmersProtest 

It’s time to correct this grave mistake https://t.co/8uF3zkCgzw",0,1,Fakeer16771146,237,False
2021-03-22 21:52:52,Bollywood starts who lost my respect @ajaydevgn @akshaykumar @iamsunnydeol #spineless #FarmersProtest,0,0,scorpion_trader,44,False
2021-03-22 21:47:32,"#23March_किसानों_के_साथ #FarmersProtest 

India 🇮🇳 stand against crony capitalism https://t.co/G9wHIJnMOw",2,2,Fakeer16771146,237,False
2021-03-22 21:47:29,"DAY: 117
DEATH TOLL: 300

#FarmersProtest
#KisaanMajdoorEktaZindabaad",3,8,jottt,1895,False
2021-03-22 21:44:24,"#23March_किसानों_के_साथ #FarmersProtest 

Farmers will win https://t.co/uSqXGwAFOz",3,5,Fakeer16771146,237,False
2021-03-22 21:35:31,"I have a feel the creator isn't too kind to Genocidal Narcissists.

#23March_किसानोंकेसाथ
#FarmersProtest https://t.co/eUutFBh31z",1,2,mandeeptoronto,677,False
2021-03-22 21:33:44,For my dearest Andhbhakt  #FarmersProtest https://t.co/mMpso1n1TF,3,3,butterfly0o0o0,530,False
2021-03-22 21:33:27,"#23March_किसानों_के_साथ #FarmersProtest 

Never Forgot our Martyrs https://t.co/ydobHCNsXZ",0,1,Fakeer16771146,237,False
2021-03-22 21:31:57,"#23March_किसानों_के_साथ #FarmersProtest 

Now days Andhbakht’s are getting trolled &amp; humilated on Twitter. https://t.co/gFr4ssPTxn",1,2,Fakeer16771146,237,False
2021-03-22 21:28:43,"#23March_किसानों_के_साथ #FarmersProtest 

Shame on Modi government https://t.co/8M65MCIwAq",0,0,Fakeer16771146,237,False
2021-03-22 21:27:48,"#23March_किसानों_के_साथ #FarmersProtest 

Farmer stand strong https://t.co/xOZNCilzur",1,3,Fakeer16771146,237,False
2021-03-22 21:27:10,"It’s Facebook versus India’s Farmers https://t.co/ae5WnVUGZh via @countercurrents
#FarmersProtest",0,0,SmujSingh,1190,False
2021-03-22 21:25:50,"Farmers protest in DC. 3/17/2021 #FarmersProtest #msp #Martyrs #DC #protest “we farm, you eat” https://t.co/vD94PWIOrW",0,1,chris_revo,41,False
2021-03-22 21:24:14,"We stand with our farmers
May Waheguru continue to give kirpa to our brothers and sisters in #delhi
#FarmersProtest #IStandWithFarmers",1,2,Freedomofspea17,15,False
2021-03-22 21:23:02,"#23March_किसानों_के_साथ #FarmersProtest 

Support Farmer Save agriculture https://t.co/Uu9OPLy7AD",0,1,Fakeer16771146,237,False
2021-03-22 21:21:40,"#23March_किसानों_के_साथ #FarmersProtest 

Our voice couldn’t be oppressed https://t.co/w11r4vpLBE",0,1,Fakeer16771146,237,False
2021-03-22 21:19:33,"#23March_किसानों_के_साथ #FarmersProtest 

We will win https://t.co/qezJIBxyXG",1,2,Fakeer16771146,237,False
2021-03-22 20:57:05,You just have to be human to raise awareness about the #FarmersProtest,8,19,damankaurr,612,False
2021-03-22 20:55:58,❤️ #FarmersProtest I pray they repeal the death laws https://t.co/ILt87ZBC6W,7,28,DoabanJatti,2640,False
2021-03-22 20:49:43,"No Farmers No Food!
#FarmersProtest",0,2,Gurbani_VKB,3887,False
2021-03-22 20:40:25,"Unity will get us there
#23March_किसानों_के_साथ
#FarmersProtest https://t.co/QwEvd2chMP",0,0,rumsomal,340,False
2021-03-22 20:28:02,Wondering how NHAI makes annually from pan India tolls #FarmersProtest https://t.co/rWgdyx3HUe,0,0,chetanbhullar,226,False
2021-03-22 20:07:43,"Weak people revenge. Strong people forgive. Intelligent people ignore. - Albert Einstein
#FarmersProtest 
#23March_किसानों_के_साथ",3,2,Singhmaan923,526,False
2021-03-22 20:02:02,"#23March_किसानों_के_साथ #FarmersProtest

We never bow down to Dictators.History is our witness 🙏🙏🙏 https://t.co/1Pw6gxjQl7",1,1,Fakeer16771146,237,False
2021-03-22 19:40:53,"Be united and fight for our rights

#23March_किसानों_के_साथ 
#FarmersProtest",0,1,Singhmaan923,526,False
2021-03-22 19:35:09,"Haryanvi's welcoming Dy. CM Dushyant Chautala
#FarmersProtest https://t.co/t76USAkBsN",0,1,KeepPeace100,231,False
2021-03-22 19:34:33,"The future Prime Minister 👑 

#india #farmersprotest #IStandWithFarmers https://t.co/RzX10LQ1Bs",34,83,sikhexpo,8078,False
2021-03-22 19:33:07,"Good evening 
#23March_किसानों_के_साथ
#FarmersProtest https://t.co/9Zy6C0hOwW",1,3,MaanDee08215437,2313,False
2021-03-22 19:31:38,"#23March_किसानों_के_साथ #FarmersProtest 

Biggest liar in the history of Mankind https://t.co/NszDLsoCAZ",0,1,Fakeer16771146,237,False
2021-03-22 19:28:58,"Age is just a number . 
Being bhagat Singh not And bhagat .
#FarmersProtest 
#bhagatsingh https://t.co/V3yLeFYWJB",1,1,KaranLo81531854,1,False
2021-03-22 19:22:56,"#FarmersProtest 
another day, another tweet about what's been happening for four months",0,0,Keerut2,27,False
2021-03-22 19:22:50,"#FarmersProtest
#23March_किसानों_के_साथ
No Farmers_No Food https://t.co/OVRdqo13y3",0,2,MaanDee08215437,2313,False
2021-03-22 19:14:10,"I stand in solidarity with our farmers. Do you? #IStandWithFarmers #FarmersProtest

 19:14:10",8,14,DigitalKisanBot,2330,False
2021-03-22 19:09:55,"Lets see glass half full at least they are not against Farmers. 
#23March_किसानों_के_साथ
#FarmersProtest https://t.co/iioXEZzx0C",0,2,Jass_k_G,145,False
2021-03-22 19:09:01,"#23March_किसानों_के_साथ
These agents never want to see India Grow. 

#FarmersProtest https://t.co/eOhVCS2pcV",0,0,Gaandivdhaari,52,False
2021-03-22 19:09:00,No caption needed ❣️💪 #FarmersProtest https://t.co/sqHd28BtCc,10,18,sukh_slatch,9041,False
2021-03-22 19:01:11,Sunset #FarmersProtest https://t.co/t52Eiss7ZU,0,0,ParNain9,134,False
2021-03-22 18:59:49,"What a simple and beautiful thought.

#23March_किसानों_के_साथ #FarmersProtest https://t.co/J5he5ivnWA",1,1,UdaiShiv,8,False
2021-03-22 18:59:44,"#Maharshi
#FarmersProtest 
#FarmersProstests 
make #Maharshi  into Hindi 
#MaheshBabu  @urstrulyMahesh https://t.co/ZEY0zDdkqo",0,1,shubhamsurkar5,33,False
2021-03-22 18:55:23,"Never felt so broken in my life 

#23March_किसानों_के_साथ  #FarmersProtest",2,4,singh_harry07,398,False
2021-03-22 18:53:34,Nature🌱 #FarmersProtest https://t.co/ODXzOzFPPe,0,0,ParNain9,134,False
2021-03-22 18:53:34,"NO FARMERS, NO FOOD 🌾#kisaanektamajdoorzindabaad 
#IStandWithFarmers #FarmersProtest https://t.co/rkP5b2yehP",3,3,Anu10113,1092,False
2021-03-22 18:53:08,"Please donate one like to stop Inhuman forces called MODI..
#FarmersProtest 
#FarmersCallBJPboycott",0,1,Maninde17345774,16,False
2021-03-22 18:48:33,We can see the real beauty of universe through the real nurturer ..♥️🙏🙏 #FarmersProtest https://t.co/zNQTMdyTto,0,1,Sukh87061902,155,False
2021-03-22 18:45:42,#FarmersProtest बज गयी घंटी। Shelf life of protest provoked by #aartiyas and vacantस्थानी। https://t.co/mz7ShtHqJL,0,0,pandit_pahadi,10,False
2021-03-22 18:45:03,"BJP upset at losing Delhi elections
BJP takes away democracy from Delhi 
#23March_किसानों_के_साथ
#FarmersProtest https://t.co/gjDbHvGRhl",0,0,rumsomal,340,False
2021-03-22 18:42:54,"Unity will get us there
#23March_किसानों_के_साथ
#FarmersProtest https://t.co/f2IHwvyf0l",0,0,rumsomal,340,False
2021-03-22 18:37:12,"He’s the best at running a DeMockRacy - #23March_किसानों_के_साथ
#FarmersProtest https://t.co/Qs8bU7gdB7",0,0,jot__b,81,False
2021-03-22 18:28:11,"Nothing strengthens authority so much as silence.

 Speak up and support farmers. They are suffering and dying

#FarmersProtest

 18:28:11",3,2,DigitalKisanBot,2330,False
2021-03-22 18:27:37,"Today with huge crowd Farmer’s Vidhansabha March held in Bangalore.

#FarmersProtest https://t.co/Ey1es2Ty99",1,2,kanav_bawa,65,False
2021-03-22 18:25:47,"The protests aren’t just near Delhi

#FarmersProtest #IStandWithFarmers https://t.co/KIF8jVuRsm",1,1,Arun_Chowdhury,1444,False
2021-03-22 18:24:47,Though Mia khalifa was a pornstar...But best blowjobs are given by Indian cricketers and bollywood celebrities.  #FarmersProtest,0,0,jashanbeer,7,False
2021-03-22 18:24:44,"Listen to Throwback Bhangra Jams _ DJ Essbee by DJ Essbee}
On https://t.co/tvapYJeDKW 
#FarmersProtest #music #SoundCloud #Punjabi",0,2,lapunjabiradio,188,False
2021-03-22 18:23:11,We are with Deep Sidhu #FreeDeepSidhu #isupportdeepsidhu #istandwithdeepsidhu #FarmersProtest https://t.co/ZYXP2rp0ha,9,15,Amanatgill2211,131,False
2021-03-22 18:22:21,"Farmer’s protest spreads to banglore thousend of supporters marchew towards vidhan sabha today

#FarmersProtest https://t.co/PHLUASips0",1,1,de_vassi,62,False
2021-03-22 18:20:16,23rd Of March #BlackDay #BhagatSingh #Rajguru #Sukhdev #Heroes #FarmersProtest #NationalHeroes https://t.co/2zr0hJEqu5,0,3,Guleria_mohit,137,False
2021-03-22 18:20:11,"Why BJP is counting on Manjeshwaram? | #KeralaElections https://t.co/8MFLTi0GNb via @YouTube 
#23March_किसानों_के_साथ
#FarmersProtest",0,0,JBBal75,425,False
2021-03-22 18:19:16,"FM RESIGN
#FMResign
#BankStrike 
#BankBachao_DeshBhachao 
#StopPrivatization 
#FarmersProtest https://t.co/9z3dtIUnfj",4,3,Kinshuk_Bansal2,8,False
2021-03-22 18:14:48,Remember #FarmersProtest is still going on... 🙏🙏🙏,0,0,Commonmanfunda,220,False
2021-03-22 18:14:11,"Considering SILENCE to be nonviolence is a sign of our downfall, not progress.

📢Speak up for FARMERS of India.

#FarmersProtest

 18:14:11",0,0,DigitalKisanBot,2330,False
2021-03-22 18:11:19,"My Farmer_My Pride
#FarmersProtest
#23March_किसानों_के_साथ https://t.co/2YCGZVQ2T0",2,1,MaanDee08215437,2313,False
2021-03-22 18:11:08,"They will sleep on the streets until these farming laws are repealed. 

#FarmersProtest #KisaanMajdoorEktaZindabaad https://t.co/z2t1Cdsf7k",2,18,RockySingh,5334,False
2021-03-22 18:06:37,So apparently @AmmyVirk and @ZeeStudios_ and Sonam bajwa coming with a movie in #Apri #boycott they are anti #FarmersProtest,0,0,jskandhari,233,False
2021-03-22 17:45:34,"The fight for our rights is still going on.

Inquilab Zindabaad ✊🏼

#FarmersProtest 
#KisaanMajdoorEktaZindabaad https://t.co/vtdQrSwWsG",12,25,itsjyoti_,1638,False
2021-03-22 17:37:39,"The MSP Guarantee Act is not difficult.

But the government is a puppet in the hands of donors.

#FarmersProtest https://t.co/siWx1QVIFg",0,1,kanav_bawa,65,False
2021-03-22 17:33:00,What a relief #FarmersProtest https://t.co/JiY6Wmqhum,1,2,jdhillonA,1356,False
2021-03-22 17:31:05,"By Crushing Individuals,
They Cannot Kill Ideas. - Bhagat Singh
🌾 #FarmersProtest #bhagatsingh #23marchbirthday https://t.co/r1sFrDLFnU",0,3,13SANDHU_,4152,False
2021-03-22 17:29:35,#BloodDonation camp at #FarmersProtest by @_gurjotsandhu ji 👍 https://t.co/n71TMUgLeE,1,4,DharmbeerLamba_,876,False
2021-03-22 17:28:14,#23March_किसानों_के_साथ  #FarmersProtest #मनुवाद_ही_आतंकवाद  farmers protest https://t.co/IMQ4ZWMcCW,0,1,Rupinde78638612,36,False
2021-03-22 17:22:57,"Yup - their lies are all being exposed. The world is watching! 

#23March_किसानों_के_साथ
#FarmersProtest https://t.co/U6xaVfvwOh",0,1,jot__b,81,False
2021-03-22 17:19:05,#FarmersProtest trying to hit the economic stability of Bharath https://t.co/2KsXqW62lp,0,1,akki_shruti,519,False
2021-03-22 17:17:47,Come out and support the farmers #FarmersProtest #supportfarmers #saareyandijugni https://t.co/F1F2InnNE8,0,0,Kooner247,222,False
2021-03-22 17:15:30,Yeah right #FarmersProtest https://t.co/U5TgesrN6O,0,1,GSPANNU13,1644,False
2021-03-22 17:13:07,"Why A Technical Proposal By FCI Could Add To Farmers’ Woes - BloombergQuint 

#FarmersProtest 
https://t.co/2kcvfd0Ce7 via @GoogleNews",0,0,rajriarhughes,637,False
2021-03-22 17:12:09,"The best way forward is to reach out to International leaders &amp; audience about #FarmersProtest 

https://t.co/JplhGRvtbV",0,0,senthilkumarn4u,25,False
2021-03-22 17:10:13,#FarmersProtest spread towards banglore! Thousands of farmers Marching towards vidhan sabha. Via: @sikhexpo https://t.co/ZunScrBDrs,9,8,jasvirpunia99,5,False
2021-03-22 17:09:46,"Modi bhgao desh bachao 🙏 boycott BJP 
#23March_किसानों_के_साथ
#FarmersProtest 
#BJP_किसान_विरोधी",0,1,rpro_n,2,False
2021-03-22 17:09:06,"Nashe Ruins Everything, Everything!
#FarmersProtest",1,4,igurbir,283,False
2021-03-22 17:07:16,"You are the artist of your life 

Don’t give the paintbrush to anyone else 

#FarmersProtest",11,20,km235560,1086,False
2021-03-22 17:03:43,"Patience and perseverance always takes the struggle towards success. 
#FarmersProtest 
#SupportingFarmersProtest https://t.co/QbkxvwkHyX",0,0,kaur_navroz,2,False
2021-03-22 17:02:55,"I keep dogale bande out of my reach 🤟🏻
#FarmersProtest",0,2,igurbir,283,False
2021-03-22 17:01:34,"SHAME ON BJP, THEIR BLIND HUNGER FOR POWER HAS RUINED INDIA AND IT'S DEMOCRACY.               #FarmersProtest https://t.co/YTXhGFz3CG",5,5,g_veer_kaur,407,False
2021-03-22 17:01:20,"Protests are not confined to 2 states

#23_मार्च_शहीद_दिवस #FarmersProtest https://t.co/of1XLrPV1g",0,0,Simran_R,176,False
2021-03-22 16:59:57,"Inquilab Zindabad ✊

#ShaheediDiwas
#FarmersProtest
#ShaheedDiwas

https://t.co/FpdgYHfJVP",0,1,ErFarm_,75,False
2021-03-22 16:57:23,"BJP is anti democracy 
#23March_किसानों_के_साथ
#FarmersProtest https://t.co/XVkoHsQHmZ",0,0,rumsomal,340,False
2021-03-22 16:56:25,"This is too good. Pls watch “No Vote for BJP”
#FarmersProtest 
#23March_किसानों_के_साथ https://t.co/QYKgjh22Ne",0,0,nutanguriya95,84,False
2021-03-22 16:50:00,"An essay on #FarmersProtest by a little Champ............kudos 🎯

#vgaurav 
@ABHIJIT_LS https://t.co/gLvET8KOh3",7,19,vikasgauraviyc,8054,False
2021-03-22 16:48:35,"Gurnam Singh Chaduni reached Rajasthan. There he was supported by the Muslim community. 
#FarmersProtest",1,4,hiestprofessor,464,False
2021-03-22 16:43:39,You go sir ✊👍🌱🌱👩‍🌾🧑‍🌾🕊🌍#FarmersProtest https://t.co/SzFZDILZ8X,0,0,OptimisticSanti,342,False
2021-03-22 16:37:45,"Placing boards outside temples in Uttarakhand. That no non-Hindus should enter here. This is dictatorship. 
#FarmersProtest",0,1,hiestprofessor,464,False
2021-03-22 16:36:07,"You should also thanks Punjab, Delhi and Andhra Pradesh for not electing BJP 😂😂
#FarmersProtest https://t.co/I2nApa9Awo",0,0,Teamkisaan1,145,False
2021-03-22 16:34:57,sikhnews247: 1inaMillion08: This is a GEM! #FarmersProtest #StandWithFarmers #Tractor2Twitter https://t.co/PL3WAR1FyR,0,0,sikhnews247,176,False
2021-03-22 16:31:08,"Some people are annoying? They don't leave you any choice but block them🤦

#FarmersProtest",3,17,KaurPunjabian,823,False
2021-03-22 16:27:06,"Btw farmers are still protesting.🌾
#FarmersProtest #300DeathsAtProtest",6,17,BillingRajneet,138,False
2021-03-22 16:26:29,"We will remember what they did to us. They always had a choice to do the right thing in the right way. 
#FarmersProtest",2,3,SekhonGurkanwal,113,False
2021-03-22 16:20:25,"mandeeptoronto: #23March_किसानोंकेसाथ
#FarmersProtest https://t.co/psAkUoFUII",0,0,SikhSouthern,155,False
2021-03-22 16:15:32,Now you feel when nobody is talking about your protest on national media that' was same for #FarmersProtest      #BoycottPrivatization,1,1,devil_lucifer_m,138,False
2021-03-22 16:13:06,We stand 🧍‍♂️with the #FarmersProtest 🧍‍♀️ https://t.co/2RGVH8Z1bQ,3,3,DenisNishant,237,False
2021-03-22 16:07:08,"Nice!

#23March_किसानों_के_साथ
#FarmersProtest https://t.co/n8l5B7yWuC",3,10,kaurgillv,2554,False
2021-03-22 16:05:28,1inaMillion08: This is a GEM! #FarmersProtest #StandWithFarmers #Tractor2Twitter https://t.co/BCnHk3VkkM,0,0,sikhnews247,176,False
2021-03-22 16:05:22,"Unity will get us there
#23March_किसानों_के_साथ
#FarmersProtest https://t.co/n72kbvtBLu",0,0,rumsomal,340,False
2021-03-22 16:04:06,Thank you so much and would like to thank @ninadgavankar ji for initiating this strike #hungerstrike #farmersprotest https://t.co/yWogsqoQ3Z,10,15,ashwini_mishraa,2048,False
2021-03-22 15:57:54,"Here comes the new toolkit agenda...after #FarmersProtest epic failure.
Try One Try All.... https://t.co/TcxAcWDRNl",0,0,immeeky1,62,False
2021-03-22 15:55:31,"Welcome to #Jaipur @RakeshTikaitBKU 
#FarmersProtest 🚜✊ https://t.co/fhGmiUi5ID",0,0,Neelam03995491,24,False
2021-03-22 15:47:00,Well done #FarmersProtest https://t.co/pq4NT7GGxK,0,1,sangram_enm,4527,False
2021-03-22 15:45:23,No farmers no food ride sector 17 #23March_किसानों_के_साथ #FarmersProtest https://t.co/aRJMTy23wL,3,8,DHALIWALBIKSY,791,False
2021-03-22 15:44:22,"mandeeptoronto: #23March_किसानोंकेसाथ
#FarmersProtest https://t.co/BLewknLCEv",0,0,KisaanSm,94,False
2021-03-22 15:42:30,"#FarmersProtest
#23March_किसानों_के_साथ

VEER RANJIT SINGH DA OFFICIAL TWITTER ACCOUNT...
Follow @RanjitS29405845 https://t.co/ZA6fIzDEQ5",0,1,Simrankaur0408,127,False
2021-03-22 15:41:45,"Resonates with #FarmersProtest India @Devinder_Sharma The table is already set, the menu limited.... https://t.co/6CPzUKyNrJ",0,0,samcontemporary,77,False
2021-03-22 15:36:11,nice to see our brothers and sisters in the south supporting #FarmersProtest https://t.co/auyGY1WvNJ,0,1,ruby_roniece,96,False
2021-03-22 15:34:34,"Unity will get us there
#23March_किसानों_के_साथ
#FarmersProtest https://t.co/jovGNgAIhk",0,0,rumsomal,340,False
2021-03-22 15:34:10,"Thread!!!!
#FarmersProtest https://t.co/EeZNwo1mHB",0,0,PMdontCARES,191,False
